"","X","RespondentID","Year","Age","Region","Educ.Level","Educ.Years","Educ.Attained","Marital","Husb.Educ.Level","Husb.Educ.Years","Husb.Employment","Employment","Husb.Educ.Attained","Husb.Age","Emotional.IPV","Less.Physic.IPV","More.Physic.IPV","Sexual.IPV","Husb.Employment.Bin","Employment.Bin","LPG","Physical.IPV","ANY.IPV","Counts.IPV","Male","Female"
"1162",10612,11167,2017,35,13,3,14,5,1,2,11,8322,9329,3,27,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1163",10613,11168,2017,38,13,3,15,5,1,3,15,4132,1211,5,44,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1164",10614,11169,2017,27,13,2,11,4,1,1,1,5212,0,1,27,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1165",10615,11170,2017,22,13,2,11,4,1,1,7,9520,0,1,22,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1166",10616,11171,2017,30,13,2,11,4,1,3,12,4412,0,5,30,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1167",10617,11172,2017,29,13,2,11,4,1,2,11,8321,1420,3,30,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1168",10618,11173,2017,37,13,2,11,4,1,1,7,3114,0,1,37,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1169",10619,11174,2017,24,13,2,11,4,1,3,13,5221,0,5,24,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1170",10622,11177,2017,29,13,3,12,5,1,3,14,0,0,5,27,0,0,0,0,0,0,"Both unemployed",0,0,0,0,0
"1171",10623,11178,2017,29,13,3,15,5,1,3,15,4212,1211,5,29,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1172",10624,11179,2017,22,13,3,14,5,2,3,12,5414,4222,5,28,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1173",10626,11182,2017,34,13,2,11,4,2,2,11,9312,0,3,41,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1174",10627,11183,2017,25,13,2,11,4,2,2,11,8322,0,3,29,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1175",10629,11185,2017,27,13,2,11,4,2,2,11,7421,9321,3,34,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1176",10630,11186,2017,39,13,3,13,5,1,3,15,5412,0,5,39,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1177",10631,11187,2017,30,13,3,15,5,2,3,12,7212,1420,5,29,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1178",10632,11188,2017,29,13,2,11,4,2,2,11,9321,0,3,26,1,0,0,0,1,0,"Male only Employed",0,1,1,1,0
"1179",10633,11189,2017,26,13,2,11,4,1,3,14,8171,0,5,30,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1180",10634,11190,2017,30,13,2,11,4,1,1,2,5141,0,1,37,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1181",10635,11191,2017,24,13,3,13,5,1,2,11,4214,5141,3,24,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1182",10636,11192,2017,23,13,3,13,5,1,2,11,5242,5212,3,23,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1183",10637,11194,2017,19,13,2,11,4,2,3,12,5131,0,5,23,1,0,0,0,1,0,"Male only Employed",0,1,1,1,0
"1184",10638,11195,2017,30,13,3,15,5,1,3,15,8211,0,5,25,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
